Alcaldías,Población,Superficie,Densidad,CPs
Álvaro Obregón,759 137,96.17,7 894,01000 - 01999
Azcapotzalco,432 205,33.66,12 840,02000 - 02999
Benito Juárez,434 153,26.63,16 303,03000 - 03999
Coyoacán,614 447,54.4,11 295,04000 - 04999
Cuajimalpa de Morelos,217 686,80.95,2 689,05000 - 05999
Cuauhtémoc,545 884,32.4,16 848,06000 - 06999
Gustavo A. Madero,1 173 351,94.07,12 473,07000 - 07999
Iztacalco,404 695,23.3,17 369,08000 - 08999
Iztapalapa,1 835 486,117,15 687,09000 - 09999
Magdalena Contreras,247 622,74.58,3 320,10000 - 10999
Miguel Hidalgo,414 470,46.99,8 820,11000 - 11999
Milpa Alta,152 685,228.41,668,12000 - 12999
Tláhuac,392 313,85.34,4 597,13000 - 13999
Tlalpan,699 928,312,2 243,14000 - 14999
Venustiano Carranza,443 704,33.4,13 284,15000 - 15999
Xochimilco,442 178,122,3 624,16000 - 16999
