entidad,cve_edo,idde,p1_aseq,p1_cacc,p1_infd,p1_infra,p1cacc_bodredmo,p1cacc_cobbanfi,p1cacc_conexbaf,p1cacc_penbanfi,p1cacc_penbanmo,p1cacc_pencompu,p1cacc_pensmtph,p1cacc_veldebaf,p1cacc_veldebam,p1aseq_aseqdp20,p1aseq_gambanfi,p1aseq_gambanfiq20,p1aseq_gamtelmoq20,p1aseq_dhogtics,p1aseq_hhibanfi,p1infd_ixpsdtce,p1infd_servphab,p2_cahd,p2_digit,p2_disp,p2_gbet,p2_usti,p2usti_usersint,p2usti_usersidm,p2usti_usersied,p2usti_usocompu,p2usti_usincomp,p2usti_usintbae,p2usti_usoeduca,p2usti_usintgob,p2cahd_usucomce,p2cahd_usohojca,p2cahd_usuproga,p2cahd_brechahojca,p2disp_igde2019,p2disp_esccompu,p2disp_qydmedig,p2disp_tarjdepo,p2gbet_plandigi,p2gbet_accsitpd,p2gbet_comtipdp,p2gbet_policibe,p3_adop,p3_cibe,p3_coel,p3_ecdi,p3_inno,p3_innov,p3adop_hbaspers,p3adop_hbasicasp,p3adop_hintermep,p3adop_havanzadp,p3adop_hinnovad,p3adop_usosintep,p3cibe_areastip,p3cibe_cibersegp,p3coel_empcomin,p3coel_empvenin,p3coel_ventxint,p3ecdi_empintermicro,p3ecdi_empinterpeqymas,p3ecdi_bnsaltec,p3ecdi_gentopdo,p3ecdi_embanlin,p3ecdi_gobtelso,p3inno_patentes,p3inno_gradstem,p3inno_gradstembre
Aguascalientes,1,175.4789783,63.4443573,62.5917166,43.06180877,60.95420288,96.45,80.56,30.9,62,83,52.23,80.93,21952.35886,30157.80012,13.91,1.84,5.26,3.73,9.86,3954.48,0,452.4388559,51.5614439,57.1002408,44.2535892,69.3738139,62.8523945,78.63,71.67,36.42,40.22,31.93,15.08,34.75,37.1,37.51,26.82,17.46,4.57,42.03,70.36,3.3,118.2,81.25,30,0,3.22,40.7710444,65.1809606,59.4098729,70.1669055,53.985201,57.4245346,Entre 60 y 70,Entre 60 y 70,Entre 50 y 60,Entre 20 y 30,Entre 0 y 10,Entre 70 y 80,Entre 50 y 60,Entre 30 y 40,7.89,5.43,8.12,26.80050988,88.35,3.04,10.67,19.21,0.07,5.61,2605.91,27.73
Baja California,2,182.874132,68.78233402,74.84203333,25.44662638,67.66040389,99.34,91.33,20.7,84,96,57.9,85.96,31081.96656,29630.37793,12.29,1.69,4.58,3.96,8.38,3948.25,0,174.5811909,65.0184237,62.8711576,48.9414417,57.6145331,72.702602,84.32,68.58,43.4,48.31,34.02,21.16,35.32,35.06,44.6,32,17.81,5.09,44.06,62.1,22.16,147.39,87.5,40,0,1.29,35.0266027,32.9694959,58.7431446,80.6997128,45.90775,52.3425705,Entre 70 y 80,Entre 60 y 70,Entre 40 y 50,Entre 20 y 30,Entre 0 y 10,Entre 70 y 80,Entre 40 y 50,Entre 20 y 30,6.75,4.55,19.72,30.829292,85.48,20.21,5.02,22.27,0.11,6.37,1365.87,30.42
Baja California Sur,3,184.0592411,50.75730155,70.45015512,41.05709053,60.22449284,95.87,87.19,41.3,75,100,50.54,83.42,30338.13854,24453.36135,12.93,1.84,6.22,4.61,5.58,5992.76,0,420.8169108,66.7651241,58.9598244,31.1985443,55.2056006,73.0017397,81.6,69.33,38.04,43.62,37.06,27.6,39.15,31.67,41.88,28.24,22.76,1.32,37.39,59.21,2.81,137.21,68.75,66,0,0,55.9946494,82.2114647,70.0127137,78.2566602,35.8387806,64.8749239,Entre 70 y 80,Entre 70 y 80,Entre 50 y 60,Entre 30 y 40,Entre 0 y 10,Entre 70 y 80,Entre 50 y 60,Entre 40 y 50,9.53,5.95,11.38,35.25945986,86.83,0,7.93,26.97,0.17,3.76,956.86,29.58
Campeche,4,149.0688494,37.08847369,48.14338851,71.46790582,46.38552176,80.2,69.38,7,43,89,45.3,74.84,16324.54728,29759.90448,20.6,1.98,6.07,4.25,21.86,4796.39,0,900.5098221,47.8577257,45.1544217,25.6510633,55.4327037,50.6213823,70.86,48.94,23.71,37.09,28.83,22.67,30.99,42.73,34.27,24.09,20.12,4.16,30.02,60.71,5.7,107.89,93.75,50,0,0.29,59.2289556,82.2114647,37.5328859,53.068467,63.6592588,57.5289059,Entre 60 y 70,Entre 70 y 80,Entre 50 y 60,Entre 30 y 40,Entre 10 y 20,Entre 70 y 80,Entre 50 y 60,Entre 40 y 50,5.56,3.5,1.57,21.59055894,84.7,0,3.94,15.03,0.17,17.23,1755.78,29.69
Coahuila,5,161.3595293,66.06583755,59.43500272,22.09491292,58.15440263,98.43,90.95,13.9,66,79,46.3,77.72,26181.60352,21687.70513,14.61,1.78,4.41,3.89,10.48,3580.87,0,121.7120661,54.3305047,51.2518541,43.4708005,46.0172818,56.6178544,76.53,55.7,33.67,40.02,32.3,20.77,31.45,30.71,36.37,24.68,20.74,1.66,32.27,61.02,36.66,156.32,43.75,38.8,2,0,17.1807729,50,52.4031684,66.053304,85.0125259,51.9532726,Entre 50 y 60,Entre 50 y 60,Entre 40 y 50,Entre 20 y 30,Entre 0 y 10,Entre 60 y 70,Entre 40 y 50,Entre 30 y 40,6.46,4.94,8.94,24.95123148,84.58,2.65,6.54,19.24,0.38,20.34,3067.91,30.51
Colima,6,179.5227728,67.30682535,63.57704138,29.2009551,61.51945282,97.96,90.81,6.2,68,96,49.56,82.79,17934.27962,29700.45358,14.12,1.6,4.08,4.12,7.37,4263.38,0,233.8010722,64.0998027,63.3151869,57.6480439,55.0551338,70.3223808,81.8,68.13,34.74,45.02,37.89,22.48,33.82,39.16,42.61,30.85,16.62,2.03,49.22,66.02,6.33,192.91,81.25,42.6,0,1.06,60.0984385,50,57.1805957,60.9896267,38.1429235,54.6881331,Entre 40 y 50,Entre 70 y 80,Entre 50 y 60,Entre 20 y 30,Entre 20 y 30,Entre 80 y 90,Entre 40 y 50,Entre 30 y 40,7.01,5.13,11.78,25.84121893,84.28,0,7.93,17.26,0.14,5.47,1475.27,26.6
Chiapas,7,71.0987677,33.94557634,15.71316098,18.38122683,22.72596125,56.98,41.75,7.2,22,47,24.7,56.35,11930.29283,25095.18218,29.09,2.25,7.75,3.56,10.91,4323.15,0,63.13327181,17.9089615,21.4844846,26.2265739,30.9735909,16.2946331,45.88,29.64,14.46,23.62,16.32,10.72,33.24,30.06,21.51,14.41,14.45,3.59,44.41,53.65,59.72,68.06,25,47.8,0,0,38.2609088,32.9694959,18.4126642,18.3897718,27.246055,26.8883218,Entre 60 y 70,Entre 60 y 70,Entre 40 y 50,Entre 20 y 30,Entre 10 y 20,Entre 70 y 80,Entre 40 y 50,Entre 20 y 30,2.19,1.34,6.66,10.64051639,71.14,0.14,1.82,6.1,0,0.36,878.27,28.08
Chihuahua,8,177.5859878,63.08975462,61.90476523,35.94654055,59.74738884,93.17,85.93,28.7,63,88,49.37,80.79,22270.44352,26734.9046,14.83,1.8,5.07,3.64,13.15,3649.35,0,340.2043204,57.6345606,53.7987756,36.1594675,66.2653203,56.3032319,77.97,57.13,29.61,41.78,29.73,23.98,29.92,30.07,37.32,26.32,21.97,2.43,23.84,60.85,82.1,125.25,87.5,45.1,2,0.34,73.7104603,65.1809606,53.8361453,72.3214607,48.3481075,64.0398234,Entre 60 y 70,Entre 70 y 80,Entre 60 y 70,Entre 40 y 50,Entre 10 y 20,Entre 70 y 80,Entre 50 y 60,Entre 30 y 40,6.58,4.44,13.99,28.14964035,86.11,10.03,5.32,21.43,0.13,5.08,1875.27,29.53
Ciudad de México,9,216.8820547,72.04077547,84.28683902,76.83554041,79.01066565,100,99.19,39.5,101,98,63.69,84.15,40753.87353,28482.50913,12.72,1.57,3.73,3.93,8.78,3850.77,0.868626346,192.0750007,84.2475131,84.4218097,85.7645846,84.4039524,83.7053669,84.41,79.11,47.32,56.05,32.96,25.47,37.37,41.6,54.07,38.41,18.65,4.5,57.72,66.61,80.32,321.24,100,45.7,2,1.71,40.7710444,32.9694959,41.9079101,67.9792792,84.0867382,53.4495793,Entre 60 y 70,Entre 60 y 70,Entre 50 y 60,Entre 20 y 30,Entre 0 y 10,Entre 70 y 80,Entre 40 y 50,Entre 20 y 30,5.24,3.76,8.17,19.67477211,86.98,2.66,30.39,16.31,0.13,23.89,2283.94,32.23
Durango,10,135.0580398,47.56543472,48.60822983,27.55864524,46.11743718,87.41,71.08,6.9,45,78,45.1,80.08,17886.80634,22311.86061,17.33,1.91,5.89,4.51,10.96,4997.61,0,207.8956702,44.6789058,49.8178692,34.7973761,73.1035074,51.3615763,76.66,56.39,30.5,37.76,27.31,13.05,33.73,33.98,34.11,21.63,15.69,0.53,41.08,60.92,13.61,99.4,81.25,55.6,2,0.54,27.5460308,32.9694959,36.5287594,48.42537,51.6500022,39.1227334,Entre 40 y 50,Entre 60 y 70,Entre 40 y 50,Entre 20 y 30,Entre 0 y 10,Entre 70 y 80,Entre 40 y 50,Entre 20 y 30,4.69,2.46,12.28,20.3709277,83.74,0.55,3.17,13.19,0.13,2.18,1616.78,34.53
