Country,Factor_Ranking,,,,,Knowledge,,,,,Sub_Knowledge,,,,,,,,,,,,,,,,,,,,,,Technology,,,,,Sub_Technology,,,,,,,,,,,,,,,,,,,,,Future_Readiness,,,,,Sub_Future,,,,,,,,,,,,,,,,,
,2017,2018,2019,2020,2021,2017,2018,2019,2020,2021,Talent,Educational_assessment_PISA_Math,International_Experience,Foreign_highly_skilled_personnel,Management_of_cities,Digital/Technological_skills,Net_flow_of_international_students,Training_&_education,Employee_training,Total_public_expenditures_on_education,Higher_education_achievement,Pupil_teacher_ratio_(tertiary_education),Graduates_in_Sciences,Women_with_degrees,Scientific_concentration,Total_expenditure_on_R&D_(%),Total_R&D_personnel_per_capita,Female_researchers_,R&D_productivity_by_publication,Scientific_and_technical_employment,High_tech_patent_grants_,Robots_in_Education_and_R&D,2017,2018,2019,2020,2021,Regulatory_framework,Starting_a_business,Enforcing_contracts,Immigration_laws,Development_&_application_of_tech.,Scientific_research_legislation,Intellectual_property_rights,Capital,IT_&_media_stock_market_capitalization,Funding_for_technological_development,Banking_and_financial_services,Country_credit_rating,Venture_capital,Investment_in_Telecommunications,Technological_framework,Communications_technology,Mobile_Broadband_subscribers,Wireless_broadband,Internet_users,Internet_bandwidht_speed,High_tech_exports_(%),2017,2018,2019,2020,2021,Adaptive_attitudes,E_Participation,Internet_retailing,Tablet_possession,Smarthphone_possession,Attitudes_toward_globalization,Business_agility,Opportunities_and_threats,World_robots_distribution,Agility_of_companies,Use_of_big_data_and_analytics,Knowledge_transfer,Entrepreneurial_fear_of_failure,IT_integration,E_Government,Public_private_partnerships,Cyber_security,Software_piracy
Argentina,57,55,59,59,61,56,58,58,50,55,62,56,53,63,59,59,16,46,61,16,38,24,60,32,48,49,43,2,25,52,60,35,58,54,56,62,62,57,61,49,16,61,60,60,63,29,62,63,63,63,25,56,62,57,57,39,55,56,49,45,56,47,52,50,28,43,39,41,62,43,37,37,60,46,47,14,59,29,54,62,58
Australia,15,13,14,15,20,18,15,15,17,19,8,28,45,11,24,44,2,37,58,22,15,,58,12,18,21,,,17,13,41,22,15,14,14,14,18,17,5,6,33,28,29,20,17,38,37,29,11,31,8,27,57,8,12,31,42,17,14,11,14,17,22,14,9,12,4,8,50,55,56,30,56,35,31,44,21,5,34,54,5
Austria,16,15,20,17,16,12,13,10,11,10,15,22,21,18,14,45,5,5,1,30,36,2,8,36,15,6,6,44,49,15,22,10,28,26,32,28,32,26,53,10,47,24,17,11,32,42,19,21,12,38,60,38,39,33,30,27,41,36,15,14,23,16,16,21,6,16,17,33,51,18,19,23,17,27,17,22,11,15,35,6,6
Belgium,22,23,25,25,26,22,25,23,21,21,20,14,11,29,30,31,12,31,24,8,24,42,59,24,20,11,13,34,43,23,39,19,24,24,21,19,23,18,28,40,8,31,18,10,20,35,20,19,19,13,30,37,33,39,59,17,22,35,22,23,25,25,26,22,56,10,11,20,23,38,44,24,42,36,21,47,26,36,31,30,13
Botswana,,,,,63,,,,,64,53,,61,36,58,63,50,48,63,1,61,43,36,,63,,,,,51,64,,,,,,63,63,62,57,58,64,49,62,56,,63,60,39,58,41,64,63,62,50,59,63,63,,,,,63,63,60,,,,57,46,64,,62,64,60,2,63,60,62,59,60
Brazil,55,57,57,51,51,55,62,59,57,51,63,55,58,59,57,60,42,58,43,12,56,47,54,49,21,35,,8,8,39,46,15,55,55,57,57,55,51,58,42,36,54,57,51,59,49,59,51,58,45,21,51,58,30,48,53,45,29,44,47,43,43,45,40,18,45,47,35,42,42,41,18,44,56,58,19,49,47,56,58,36
Bulgaria,45,43,45,45,52,41,41,46,47,53,54,44,55,62,55,40,55,53,57,47,47,14,51,34,46,43,35,12,47,38,25,50,42,42,42,45,51,55,47,32,60,56,57,55,53,36,50,49,43,48,33,42,32,33,21,56,38,38,57,55,48,44,55,45,22,51,46,41,54,61,61,45,61,59,52,10,53,39,55,60,50
Canada,9,8,11,12,13,3,3,5,5,7,9,11,24,13,20,12,8,10,28,42,6,7,38,1,5,24,22,20,11,5,13,8,13,12,13,13,15,13,2,50,7,10,14,23,9,15,15,15,9,15,17,29,29,36,51,12,15,26,8,9,18,15,15,17,16,4,21,34,29,20,15,13,21,8,19,43,14,26,12,15,13
Chile,40,37,42,41,39,52,47,50,49,49,36,49,20,7,43,32,49,51,46,18,45,,47,46,57,54,50,35,23,41,61,45,34,35,41,40,35,33,31,38,5,40,50,32,38,51,46,23,30,40,16,36,30,32,41,29,26,49,33,31,37,39,36,24,28,36,30,9,15,54,30,48,26,41,38,53,39,31,24,48,46
China,31,30,22,16,15,23,30,18,8,6,12,1,44,31,11,16,48,35,13,52,16,41,,,1,14,36,,1,1,8,1,36,34,26,27,20,15,16,5,31,16,22,35,27,24,16,33,26,25,37,28,13,24,23,57,25,8,34,28,21,18,17,19,9,22,36,17,11,3,31,1,19,11,23,36,32,40,4,12,56
Colombia,58,59,58,61,59,57,57,57,59,56,57,54,48,44,52,52,51,50,33,46,51,34,32,45,58,56,48,29,18,50,62,50,60,60,60,61,60,61,40,64,40,38,56,46,49,56,53,55,51,52,3,59,54,58,65,55,58,45,53,56,55,50,53,58,26,54,52,58,31,47,54,50,50,51,44,15,46,52,29,51,40
Croatia,48,44,51,52,55,50,43,42,41,47,61,37,62,61,62,48,53,42,64,28,43,9,23,42,34,37,37,11,46,34,12,41,47,49,50,49,50,56,48,24,59,62,59,57,50,22,55,61,54,59,6,41,41,16,49,32,46,46,56,54,60,62,60,39,22,52,33,30,60,64,63,49,63,61,62,49,58,44,63,49,43
