Año,Entidad,BComerc SecPrim,BdeD SecPrim,BComerc SecSec,BdeD SecSec,BComerc SecTer,BdeD SecTer,Exportaciones,InverExtranjDir,PIBperCapita,IndiceDesempleo,ITAEE
2007,Aguascalientes,343000000,0,1706000000,173100000,3234000000,14500000,4389842000,410573807,103805.502752823,5.04903,86.9718141969575
2007,Baja California,1249000000,6100000,6494000000,442500000,4338000000,219600000,31858675000,1790829226.19,105637.628105894,1.98802,99.1529083334977
2007,Baja California Sur,56000000,0,1261000000,151400000,2223000000,444600000,148997000,910120969.05,112882.40393165,2.2166,92.325134080598
2007,Campeche,36000000,500000,1421000000,482600000,1716000000,81000000,29051551000,134523132,776943.200438325,2.09741,131.409667172291
2007,Coahuila,2641000000,0,3726000000,327700000,5169000000,562300000,17469634000,666290305.87,141073.447425164,4.16084,92.9899961076389
2007,Colima,162000000,6100000,379000000,1700000,968000000,10300000,79554000,118700791.7,96894.7558115502,2.99184,84.800148824865
2007,Chiapas,480000000,5900000,418000000,1200000,1545000000,5100000,908251000,186876594,41939.4951004214,2.06839,89.8944759596099
2007,Chihuahua,1310000000,11900000,6270000000,875500000,5366000000,96000000,28094745000,2267159665.99999,104692.622100814,3.6853,91.257372569709
2007,Ciudad de México,2639000000,180300000,120634000000,17600100000,184715000000,6959200000,2713216000,6931510735.48002,212451.142050845,5.68338,90.1049793205949
2007,Durango,1304000000,0,2577000000,136600000,1764000000,2600000,878703000,421617602.000001,83760.062564562,2.84358,86.0657942378259
2007,Guanajuato,1619000000,0,7349000000,94100000,9331000000,22700000,6425251000,1091994074.52,80583.5456151502,3.1573,82.1980690599868
2007,Guerrero,42000000,0,535000000,0,1121000000,1000000,142118000,112354004.8,52366.2072265226,1.3257,93.6330793159788
2007,Hidalgo,71000000,0,2285000000,57600000,726000000,1800000,1300633000,87068187,69731.2120310441,3.15557,87.3032313024072
2007,Jalisco,1650000000,18000000,18207000000,95200000,18559000000,201800000,14445974000,1837713503.25,98104.5655627301,3.20519,89.6484401143916
2007,Estado de México,348000000,8200000,16942000000,341700000,16083000000,543000000,8643137000,2220914372.39,66394.5371632453,4.88512,86.7783585175659
2007,Michoacán,684000000,8700000,2179000000,103600000,3363000000,3300000,357290000,1860910894,64967.356845291,2.29233,91.3221836788075
2007,Morelos,97000000,100000,1486000000,1400000,1811000000,19100000,2044923000,393498015,72182.9971312671,3.32647,92.9714746266929
2007,Nayarit,134000000,300000,241000000,91800000,907000000,5800000,37115000,244593047.17,67161.6793790218,2.70814,88.4661985696531
2007,Nuevo León,1167000000,0,68099000000,3106800000,40779000000,1519700000,19803477000,3593201467.96999,191526.797376579,3.77017,89.3010327018518
