clave_ageb,ID,CVEGEO,p0000201,p0000301,p13701011,p13701012,p13701013,p13701014,p1370202,p1380101,p1380201,p1380301,p1380401,p1380502,p1380601,p1390101,p1390201,p1390301,p1390401,p1390501,p1390601,p1390701,p1390801,p1390901,p1391001,p1391102,p1400101,p1410101,p1410201,p1410301,p1410401,p1410501,p1410601,p1410702,nombre_cul,ups_cult,p012n06,p012n10,p012n14,p012n19,p012n31,p0070101,p0070105,p0150001,p0150401,p0150501,p0150601,p0150702,p1310101,p1310201,p1330101,p1330201,p1330301,p1330401,p1330502,p1340101,p1340201,p1340301,p1340402,p1350101,p1350201,p1350301,p1350401,p1350501,p1350602,p1360101,p1360201,p1360301,p1360401,p1360501,p1360601,p1360701,p1360801,p1360901,p1361002,CVEGEO.y...77,p0000201.y...78,p0000301.y...79,p0020101,p0040104,p1430101,p1430201,p1430301,p1430402,p1450101,p1450201,p1450301,p1450401,p1450501,p1450602,p14600011,p14600012,p1470101,p1480102,p1490102,p1500102,p1510101,p1530101,p1530201,p1530202,p1530301,p1530302,p1540101,p1540201,p1540301,p1540401,p1540501,p1540601,p1540701,p1540801,p0240101,p0240201,p0240301,p0240401,p0240501,p0240602,p0250101,p0260104,p0280101,p0290004,p1140101,p1150101,p1150201,p1150301,p1150401,p1150502,p1150601,p1160101,p1160105,p1160201,p1160205,p1160302,p1160306,p1170100,p1170101,p1170202,p1180001,p1180101,p1180201,p1180301,p1180401,p1180501,p1180601,p1180701,p1180801,p1180901,p1181001,p1181101,p1181201,p1181301,p1181401,p1181501,p1181601,p1181701,p1181801,p1181901,p1182001,p1182101,p1182201,p1182301,p1182402,p1190101,p1200101,p1200201,p1200301,p1200401,p1200502,p0060105,p0060205,p0060305,p0060405,p0060506,p0320101,p03301011,p03301012,p03301013,p03401011,p03401012,p03401013,p0350001,p0350101,p0350201,p0350301,p0350401,p0350502,p0360001,p0370001,p0370101,p0160001,p0160005,p0160101,p0160201,p0160301,p0160401,p0160501,p0160601,p0160701,p0160801,p0160904,p0161002,p1270101,p1280101,p1280103,p1280104,p1280201,p1280203,p1280204,p1280301,p1280303,p1280304,p1280401,p1280403,p1280404,p1280501,p1280503,p1280504,p1280601,p1280603,p1280604,p1280701,p1280703,p1280704,p1280801,p1280803,p1280804,p1280901,p1280903,p1280904,p1281001,p1281003,p1281004,p1281101,p1281201,p1281301,p1281401,p1281502,p1281504,p1281505,p1290101,p1290201,p1290301,p1290401,p1290501,p1290601,p1290701,p1290801,p1290902,p1300101,p1300201,p1300301,p1300401,p1300501,p1300601,p1300702,p1210101,p1210201,p1210301,p1210401,p1210501,p1210701,p1220001,p1220002,p1220101,p1220102,p1220201,p1220202,p1220301,p1220302,p1220401,p1220402,p1230001,p1230002,p1230101,p1230102,p1230201,p1230301,p1230401,p1230501,p1230601,p1230602,p1230701,p1230801,p1230901,p1231001,p1240001,p1250001,p1250101,p1250201,p1250301,p1250401,p1250501,p1250601,p0400001,p0400005,p0400104,p0400204,p0400301,p0410001,p0410101,p0410105,p0410201,p0410205,p0410401,p0410405,p0410601,p0410605,p0410701,p0410705,p0410802,p0410806,CVEGEO.x...312,p0000201.x...313,p0000301.x...314,p0170104,p0170204,p0180101,p0180201,p0180301,p0180401,p0180501,p0180602,p0190101,p0190201,p0190401,p0190501,p0190601,p0190701,p0190802,p0200101,p0200201,p0200301,p0200401,p0210101,p0210201,p0210301,p0220101,CVEGEO.y...338,p0000201.y...339,p0000301.y...340,p0420101,p0420105,p0430101,p0430105,p0440001,p0450101,p0460101,p0470004,p0470101,p0480001,p0480101,p0490101,p0500101,p0510004,p0510101,p0510404,p0230105,p0230205,p0230405,p0230505,p0230605,p0230705,p0230805,p0231305,p0231505,p0230301,p0230901,p0231001,p0231101,p0231201,p0231401,p0050105,p0050205,p0050305,p0050405,p0050505,p1110001,p1110101,p1110201,p1110301,p1110401,p1110501,p1110608,p1110708,p1110808,p1110908,p1111008,p1120001,p1120002,p1120106,p1120206,p1120306,p1120406,p1120506,p1130001,p1130002,p1130108,p1130208,p1130308,p1130408,p1130508,Sup_plan,Sup_prod,Vol,Sup_org,porc,area,Region_teeb,Area_cafe,Yield95,STD95,Yield2020,STD20,Cambio_yield,Cambio_STD
07001002-9,39,7001,Chiapas,Acacoyagua,246,1,0,0,0,241,0,0,0,8,6,200,38,231,20,144,114,97,131,5,1,0,0,0,0,0,0,0,0,0,11,321,966.3289,909.2609,909.2609,909.2609,883.3059,247,1334.376,2,0,0,0,2,28,26,11,27,0,0,0,0,27,4,0,30,0,6,0,0,0,28,0,27,24,24,0,0,0,0,0,7001,Chiapas,Acacoyagua,501,2371.8361,246,9,106,28,0,8,0,0,1,0,187,60,247,7,3,0,168,885,572,287,313,216,228,8,166,224,50,77,201,222,0,0,0,0,0,0,5,1.3124,0,0,1,0,0,0,0,1,0,1,3000,0,0,0,0,0,0,0,21,10,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,4,5,4,0,0,0,1,2368.0361,3.8,0,0,0,44,5,185,57,1,179,62,241,86,151,0,4,1,0,0,0,78,228.0044,2,24,1,4,6,4,5,23,73.0712,9,81,77,2092,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,555,169,4,8,3,1,75,0,4,0,4,0,0,1,0,71,0,9,237,10,0,0,0,0,63,107,2,0,27,2,76,10,2,0,37,169,0,0,0,0,0,0,169,24,22,0,1,15,90,80,80,0,78,2,0,0,98,345.7199,33.2206,12.9905,1,15,11,35.9622,0,0,5,10.8889,0,0,0,0,0,0,7001,Chiapas,Acacoyagua,1334.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,7001,Chiapas,Acacoyagua,4,23.4418,115,620.1349,0,0,5,0.9699,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2347.8361,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,61,61,60,0,0,0,0,815.1964,774.7073,1136.913,758.5416,9.072576414,8539,Soconusco,810.9675,1.568862476,0.142619756,1.57660096,0.220443978,0.007640235,0.140534994
07001003-3,40,7001,Chiapas,Acacoyagua,355,0,0,0,0,311,0,0,0,10,42,231,52,214,81,78,49,121,110,3,5,0,0,0,0,0,0,0,0,0,19,558,1905.2944,1844.5747,1844.5747,1844.5747,1450.0409,355,2504.7893,5,0,1,1,3,14,13,11,13,0,0,1,2,4,13,0,16,0,4,0,0,0,15,2,12,10,9,1,1,1,1,0,7001,Chiapas,Acacoyagua,742,3396.4643,353,23,77,22,0,15,0,7,0,1,289,66,355,4,2,1,267,1508,893,408,615,379,323,13,242,321,86,149,325,347,0,0,0,0,0,0,4,1.1562,0,0,2,0,0,0,0,2,0,0,0,0,0,2,5000,0,0,0,60,23,11,0,2,6,0,0,2,0,0,1,0,0,4,0,0,4,1,1,0,0,1,0,25,0,0,0,0,0,0,3372.5488,23.478,0,0.4375,0,45,13,271,71,2,229,111,340,80,236,0,2,22,0,9,0,163,476.5477,5,107,1,11,7,4,5,9,30.9898,14,45,24,1087,267,2,100,24,1,13,3,5,1041,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,11,1,1,0,2,9,649,248,13,4,0,1,35,0,1,0,6,0,2,3,0,23,0,17,330,25,0,0,0,0,99,201,9,4,35,5,154,10,3,1,63,244,0,0,0,0,0,0,244,14,46,0,0,17,26,22,22,0,22,0,0,0,79,352.6696,17.4467,17.6997,1,2,1,1.1236,0,0,0,0,0,0,1,0.3333,0,0,7001,Chiapas,Acacoyagua,2503.7893,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,282,7001,Chiapas,Acacoyagua,1,1.5647,61,534.8276,1,0,4,4.0514,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3152.1357,0,244.3286,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,15,2,0,0,0,37,37,36,0,0,0,0,1259.1492,1214.3224,1774.9964,1035.1431,15.59,7791,Soconusco,1113.435,1.505366173,0.291585097,1.628141792,0.183355831,0.123446986,0.255724688
07001004-8,42,7001,Chiapas,Acacoyagua,112,0,0,0,0,105,0,0,0,1,6,96,9,108,24,71,52,66,84,1,1,2,0,0,0,0,0,0,0,0,12,220,696.0098,676.324,676.324,676.324,500.6738,112,820.5533,0,0,0,0,0,0,2,2,1,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7001,Chiapas,Acacoyagua,225,901.2126,112,13,33,40,0,9,0,3,1,0,88,24,112,4,0,0,82,363,206,109,157,108,106,17,77,107,50,16,103,109,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,5000,0,0,1,0,0,0,0,24,12,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,13,1,1,0,0,0,0,895.2959,2.6667,0.5,2.75,0,26,4,77,31,3,77,28,105,48,57,0,0,0,0,12,0,28,70.2403,2,7,0,3,2,1,1,5,9.3599,7,27,2,140,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1500,370,1,1,0,0,26,0,0,0,1,0,0,0,0,24,0,3,111,1,0,0,0,0,43,75,1,0,17,1,55,2,2,1,39,164,0,0,0,0,0,0,164,14,30,0,1,8,33,28,28,0,28,0,0,0,15,27.6145,2.0587,0,0,6,6,15.5458,0,0,0,0,0,0,0,0,0,0,7001,Chiapas,Acacoyagua,819.8866,0.6667,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,100,7001,Chiapas,Acacoyagua,0,0,10,36.499,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715.0076,0,186.205,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,1,0,0,0,16,16,16,0,0,0,0,313.7526,302.5182,460.9905,261.7486,3.658019347,8270,Soconusco,280.44,1.514560104,0.12920758,1.546253554,0.197578373,0.026819255,0.15094164
07006001-0,67,7006,Chiapas,Amatenango de la Frontera,2185,16,0,0,1,735,0,1,0,27,1442,608,769,1416,71,52,142,907,573,1,17,3,3,0,0,0,0,3,0,0,6,2207,3939.9865,3833.721,3833.721,3833.721,383.8655,2202,5397.5362,2,1,0,1,0,10,7,6,10,0,0,1,4,11,1,1,17,0,0,0,0,0,17,0,1,0,0,1,0,1,0,0,7006,Chiapas,Amatenango de la Frontera,2754,5495.2604,2106,137,10,184,4,71,5,52,7,0,1876,326,2202,223,48,8,1587,7077,3333,1663,3744,2520,2091,775,946,2167,1019,1143,1969,1967,0,0,0,0,0,0,8,1.507,2,2,12,1,0,0,1,10,1,5,15000,4,105000,3,6500,3,3,0,849,265,1,0,0,0,0,0,4,0,1,3,0,0,0,0,1,437,0,0,0,0,0,0,206,15,5,0,1,0,9,5453.4473,41.8131,0,0,0,167,196,1036,970,0,760,1246,2006,1000,1005,0,1,1,2,9,0,401,600.8073,9,237,4,26,0,7,2,110,138.7054,6,13,8,461,113,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,20,0,0,0,0,3,72,5,6,4,1,2,2,0,0,1,3,3,1,6,0,2,0,4,2175,27,0,0,0,0,324,679,34,15,156,41,477,78,14,3,1391,7108,55,6,9,0,0,5,7053,1403,637,0,3,765,67,61,61,0,59,2,0,0,31,70.4582,67.5795,6.9515,1,2,2,0.1144,0,0,0,0,0,0,0,0,0,0,7006,Chiapas,Amatenango de la Frontera,5330.392,67.1446,7,31,0,0,2,0,0,0,0,37,2,1,0,36,2,0,2,1,1,1,1624,7006,Chiapas,Amatenango de la Frontera,1,5.7852,7,17.8594,1,2,2,0.3804,2,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,5463.9028,0,31.3576,0,0,0,1,0,0,0,0,0,0,0,0,0,88,96,86,8,0,0,0,4,5,4,1,0,0,0,3973.4281,3870.8294,5792.4966,380.3652,36.97,10470,Sierra,2942.865,1.346175938,0.127851323,1.576342323,0.164666357,0.171374736,0.060774506
07006002-5,69,7006,Chiapas,Amatenango de la Frontera,709,0,0,0,0,180,0,4,0,18,509,341,98,436,135,169,248,307,149,0,0,5,4,0,0,0,0,4,0,0,14,723,1604.5869,1527.3482,1527.3482,1527.3482,176.5335,709,2747.7081,0,0,0,0,0,2,1,1,2,0,0,0,1,1,1,0,3,0,1,0,0,0,3,0,1,1,0,1,0,1,0,0,7006,Chiapas,Amatenango de la Frontera,1357,2766.6698,707,38,7,41,0,26,0,12,1,0,586,123,709,13,15,3,589,2946,1643,806,1303,828,629,12,537,680,217,539,557,441,0,0,0,0,0,0,9,2.3326,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,343,220,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,135,0,0,0,0,0,0,44,13,8,0,0,0,5,2753.2789,12.4909,0,0.9,0,57,52,535,122,1,386,270,656,239,413,4,0,0,3,8,0,223,520.2417,7,153,1,22,0,2,0,18,29.178,20,1,1,80,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,617,92,0,0,0,0,87,188,15,6,77,11,95,25,1,0,500,2541,13,0,2,0,0,0,2528,403,215,0,0,285,53,28,28,0,27,0,0,1,5,7.7971,4.7686,0,0,1,1,0.3968,0,0,0,0,0,0,0,0,0,0,7006,Chiapas,Amatenango de la Frontera,2747.7081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,541,7006,Chiapas,Amatenango de la Frontera,3,3.4008,3,4.0344,1,0,2,1.0517,2,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2395.6053,0,371.0645,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,1709.8477,1630.1748,2418.6294,204.9226,19.46,8376,Sierra,1471.05,1.435593635,0.101915511,1.674919498,0.127714824,0.169346763,0.088450929
07006003-A,70,7006,Chiapas,Amatenango de la Frontera,659,0,0,0,2,248,0,1,0,29,384,275,200,434,229,82,172,392,63,0,0,6,16,0,0,0,0,8,2,6,7,699,1451.7186,1383.3115,1383.3115,1383.3115,194.4186,664,2241.8225,11,0,0,1,10,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7006,Chiapas,Amatenango de la Frontera,1133,2276.0242,605,40,4,80,0,24,3,11,3,0,588,73,661,31,3,2,471,2602,1379,684,1223,769,588,196,285,649,370,639,574,548,0,0,0,0,0,0,8,12.5462,2,3,3,1,0,1,0,1,0,2,2410,0,0,1,0,4,4,2,310,302,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,9,4,0,0,0,5,2273.8573,2.1669,0,0,0,40,50,460,154,2,329,283,612,270,327,0,0,16,15,0,0,105,302.0076,4,59,0,16,0,4,1,9,16.0827,12,2,1,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,800,50,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,601,60,0,0,0,0,59,143,6,2,45,6,89,14,3,2,380,2385,18,5,0,0,0,4,2367,471,115,0,0,264,12,12,12,0,12,0,0,0,5,15.5718,14.3296,6.4599,2,2,1,1.2296,0,0,1,0.9516,0,0,0,0,0,0,7006,Chiapas,Amatenango de la Frontera,2240.7342,1.0883,1,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,505,7006,Chiapas,Amatenango de la Frontera,0,0,1,0.9025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237.9242,0,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,51,45,5,1,0,0,0,0,0,0,0,0,0,1310.3199,1262.691,1911.3541,163.0186,19.15,6594,Sierra,976.41,1.531485253,0.089639466,1.782596865,0.104602683,0.165605387,0.063885113
07008004-9,77,7008,Chiapas,Angel Albino Corzo,342,0,0,0,1,298,0,0,1,30,16,124,114,237,55,52,72,82,79,41,2,2,1,0,0,0,0,1,0,0,14,167,904.8776,872.0199,872.0199,872.0199,741.4053,343,2643.5314,14,0,3,7,4,10,12,2,14,2,0,1,4,7,7,0,18,0,2,0,0,0,16,2,9,1,1,0,0,0,0,0,7008,Chiapas,Angel Albino Corzo,650,3407.6349,328,2,11,19,0,2,0,0,0,0,304,39,343,7,0,0,247,1478,876,429,602,356,332,67,227,332,74,256,240,229,0,0,0,0,0,0,8,0.4399,0,0,13,0,0,3,1,9,1,7,58300,1,15000,5,17100,0,0,0,197,162,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,45,30,4,0,0,1,26,3401.9228,5.0454,0,0.6667,0,73,32,279,32,0,257,54,311,41,263,4,0,3,3,3,2,104,435.0517,8,72,1,8,0,2,2,8,22.5647,3,14,7,960,138,5,712,97,0,0,0,2,104,20,0,0,0,0,0,0,0,0,0,0,0,0,1,73,10,0,0,0,0,0,0,0,3,278,34,2,3,1,0,11,0,0,0,1,0,1,0,0,0,0,13,325,18,0,0,0,0,148,407,39,7,70,14,295,29,3,0,176,1058,3,0,1,0,0,0,1055,112,74,3,0,100,24,20,20,0,20,0,0,0,76,512.2956,191.4169,21.8279,1,2,0,0,0,0,2,14.1822,0,0,0,0,0,0,7008,Chiapas,Angel Albino Corzo,2641.5314,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,302,7008,Chiapas,Angel Albino Corzo,22,174.1829,18,63.0029,0,8,1,2.1767,1,1,0,1,0,1.4445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2731.2703,0,676.3646,0,0,0,0,0,0,0,0,0,0,0,0,0,48,56,48,7,1,0,0,2,2,2,0,0,0,0,906.5532,868.2065,1273.0106,753.8253,10.57,8214,Sierra,1133.415,1.548618923,0.088111506,1.622643492,0.100352704,0.053483231,0.115663118
07008007-2,79,7008,Chiapas,Angel Albino Corzo,94,0,0,0,41,118,0,0,0,1,16,4,4,110,0,1,3,109,102,0,4,3,0,0,0,0,0,0,0,0,3,132,511.181,459.291,459.291,459.291,60.9305,137,920.0812,1,0,0,0,1,6,8,0,5,3,0,0,1,2,5,0,6,1,0,0,0,2,7,2,2,2,2,2,2,0,0,1,7008,Chiapas,Angel Albino Corzo,238,1354.009,49,17,8,89,0,8,0,9,0,0,122,13,135,3,0,0,113,549,303,146,246,158,126,7,114,128,52,124,133,131,0,0,0,0,0,0,18,228.0438,1,1,9,1,1,0,0,7,1,8,70000,0,0,1,0,0,0,0,97,47,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,1,0,0,1,0,61,7,2,0,0,0,5,1341.5093,2.9998,0,9.4999,0,46,7,112,18,0,62,68,130,66,57,0,1,8,0,50,0,68,247.975,4,41,0,9,0,0,0,12,42.1594,2,5,0,0,0,0,0,0,2,300,50,0,0,0,2,302,50,0,0,0,0,0,0,0,0,0,1,70,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,2,0,0,1,0,0,0,0,4,111,24,0,0,0,0,33,57,2,0,19,0,36,2,0,0,79,369,6,3,0,0,0,1,363,39,52,1,0,26,39,30,30,0,23,0,0,7,6,144.0367,53.2857,16.716,1,1,0,0,0,0,0,0,0,0,1,1.0848,0,0,7008,Chiapas,Angel Albino Corzo,920.0812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,7008,Chiapas,Angel Albino Corzo,1,41.79,2,17.9725,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318.6757,0,35.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,27,1,1,1,0,0,0,0,0,0,0,0,609.4483,556.4858,814.6769,68.0417,13.35,4167,Sierra,277.605,1.447853735,0.128148699,1.682199135,0.077641575,0.175623769,0.158148662
07008009-1,80,7008,Chiapas,Angel Albino Corzo,170,0,0,0,6,148,0,0,0,3,25,24,55,102,2,1,6,16,13,1,0,0,0,0,0,0,0,0,0,0,5,77,371.5007,353.8558,353.8558,353.8558,308.9488,176,1444.0983,5,0,0,0,5,2,4,1,3,0,1,1,2,2,1,1,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7008,Chiapas,Angel Albino Corzo,318,1548.6368,164,2,7,14,0,1,0,1,0,0,155,21,176,1,2,0,126,885,424,214,461,248,87,55,86,164,53,138,153,166,0,0,0,0,0,0,11,40.0347,1,0.001,3,0,0,0,1,2,0,2,50000,0,0,1,2000,0,0,0,112,103,0,0,1,0,0,0,2,0,0,1,0,0,2,2,0,2,0,0,0,0,0,0,10,3,1,0,0,0,2,1547.6368,0,0,1,0,45,69,102,5,0,81,26,107,15,86,0,2,4,0,4,0,79,498.7987,3,60,5,2,0,0,0,8,17.0146,1,2,0,0,0,0,0,0,0,0,0,2,770,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2,168,8,0,0,0,0,30,74,7,0,14,0,52,1,1,0,102,775,24,4,1,1,0,7,751,129,13,0,0,82,18,16,16,0,15,1,0,0,3,35.6046,31.1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7008,Chiapas,Angel Albino Corzo,1444.0983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,7008,Chiapas,Angel Albino Corzo,0,0,3,28.8982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109.3863,0,439.2505,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,25,1,0,0,0,0,0,0,0,0,0,0,449.0064,438.8704,648.5523,412.7197,5.298447422,8283,Sierra,1163.7675,1.500676313,0.104298405,1.760084173,0.072851018,0.181030173,0.122058527
07011001-0,86,7011,Chiapas,Bella Vista,626,1,0,0,0,109,0,0,0,32,486,7,2,591,1,0,0,56,5,0,0,2,16,0,0,0,1,15,0,0,5,640,1324.937,1264.0792,1264.0792,1264.0792,940.935,628,2081.7339,7,0,0,7,0,21,21,0,22,0,0,0,1,19,1,1,21,5,1,0,0,0,22,21,3,0,0,0,0,0,0,0,7011,Chiapas,Bella Vista,891,2212.0473,624,73,239,163,8,55,0,10,0,0,526,101,626,6,6,1,596,2507,1224,569,1283,801,533,142,416,602,226,218,544,492,0,0,0,0,0,0,10,2.1022,3,4,7,1,0,3,0,3,0,1,3000,3,51000,3,9000,3,3,0,322,99,1,1,0,0,0,0,5,0,0,3,0,1,0,0,9,73,0,0,0,0,0,1,177,4,3,0,1,0,0,2195.3886,14.3254,0,0.5,0,26,32,268,328,0,191,405,595,384,180,25,0,7,0,0,0,133,384.9644,2,29,1,28,1,2,0,65,184.2229,5,14,5,337,34,3,128,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,7,0,0,0,0,8,427,103,13,5,1,6,4,0,0,0,0,5,5,5,1,1,0,2,513,114,0,0,0,0,137,256,6,5,38,4,212,6,0,0,249,948,12,0,3,0,0,1,936,25,146,0,0,110,140,131,131,0,131,0,0,0,37,103.5418,6.348,1.5,0,2,2,3.076,0,0,0,0,0,0,0,0,0,0,7011,Chiapas,Bella Vista,2080.7141,1.0198,2,2,0,0,0,0,1,2,0,1,1,0,0,2,0,1,1,1,1,1,565,7011,Chiapas,Bella Vista,1,0.8,5,16.7934,0,0,2,0.8489,2,0,0,1,0,1.2632,1,1.2632,0.5938,0,14,14,0,0,0,0,0,0,0,0,0,1,0,2212.0473,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,1,1,0,0,0,0,0,1331.7175,1277.67,1873.2836,949.531,13.8,9260,Sierra,1528.7625,1.320957098,0.093737732,1.732982742,0.119741525,0.321384836,0.159056885
