"fips","state","densityMi","pop2023","pop2022","pop2020","pop2019","pop2010","growthRate","growth","growthSince2010","TotalHouseoldsPerc","DogsPerc","AvgNumDogs","CatsPerc","AvgNumCats","DogDevotionScore","StayedAtAJobTheyDislikedForDogPerc","WhoWouldSpend4kToSaveDogPerc","rank"
"56","Wyoming",6.00743,583279,581381,577605,576207.1,563626,0.00326,1898,0.03487,71.8,36,1.7,30,1.8,25.53,6.5,37,1
"54","West Virginia",73.41651,1764786,1775156,1791420,1797577.4,1852994,-0.00584,-10370,-0.0476,70.7,49.6,1.7,37.7,2.1,53.47,8,29,2
"31","Nebraska",25.67286,1972292,1967923,1962642,1949011.9,1826341,0.00222,4369,0.07991,70.3,47.1,1.8,30.9,2.3,10.12,7.5,25.5,3
"50","Vermont",70.2133,647156,647064,642893,641177.8,625741,0.00014,92,0.03422,70,28.3,1.3,44.6,1.3,38.07,6,46.5,4
"16","Idaho",23.88287,1973752,1939033,1849202,1821040,1567582,0.01791,34719,0.25911,69.9,58.3,1.7,33.3,2,32.33,8,27.5,5
"18","Indiana",191.27287,6852542,6833037,6788799,6758299.3,6483802,0.00285,19505,0.05687,69.2,49.4,1.6,37.5,1.9,32.02,7.5,34,6
"5","Arkansas",58.86715,3063152,3045637,3014195,3004367.3,2915918,0.00575,17515,0.05049,69,51.6,1.8,34.8,2.1,80.97,11.5,32.5,7
"28","Mississippi",62.45398,2930528,2940057,2958141,2959056.6,2967297,-0.00324,-9529,-0.01239,65.5,51,2.1,29.1,2,42.45,6.5,28.5,8
"40","Oklahoma",59.01851,4048375,4019800,3964912,3943555.9,3751351,0.00711,28575,0.07918,65,47.7,1.8,28.4,1.8,16.92,5,25.5,9
"8","Colorado",56.62333,5868555,5839926,5784865,5709298.1,5029196,0.0049,28629,0.1669,64.7,47.2,1.6,27.1,1.6,100,11,43.5,10
"21","Kentucky",114.42109,4518031,4512310,4507445,4490637.2,4339367,0.00127,5721,0.04117,64.1,46.5,1.9,32.2,1.8,29.46,7,24.5,11
"38","North Dakota",11.31271,780588,779261,779518,768825.3,672591,0.0017,1327,0.16057,63.7,44.3,1.5,24.8,2.8,43.2,6,30.5,12
"23","Maine",45.17855,1393442,1385340,1363557,1360037.4,1328361,0.00585,8102,0.04899,63.5,35.9,1.5,43.6,1.9,1.96,5,37.5,13
"29","Missouri",89.98998,6186091,6177957,6153998,6137490.9,5988927,0.00132,8134,0.03292,63.5,45.1,1.6,28.6,1.9,8.91,5,26.5,14
"20","Kansas",35.91504,2936378,2937150,2937919,2929438.9,2853118,-0.00026,-772,0.02918,62.8,43.1,1.6,32.4,2.1,25.68,4.5,36,15
"53","Washington",117.83476,7830827,7785786,7724031,7624081.9,6724540,0.00579,45041,0.16451,62.7,42.8,1.5,30.5,1.8,80.97,7,43,16
"26","Michigan",177.41244,10030722,10034113,10069577,10050983.3,9883640,-0.00034,-3391,0.01488,62.4,41.9,1.6,31.2,1.7,9.06,6.5,32,17
"39","Ohio",287.50579,11747774,11756058,11797517,11771415.7,11536504,-0.0007,-8284,0.01831,62.4,37.9,1.7,30.7,1.9,32.48,6,33,18
"45","South Carolina",178.70337,5372002,5282634,5131848,5081199.6,4625364,0.01692,89368,0.16142,62,45.3,1.6,25.2,1.6,19.49,3.5,32.5,19
"30","Montana",7.82919,1139507,1122867,1087075,1077309,989415,0.01482,16640,0.1517,61.9,51.9,2.1,22.8,1.8,1.06,4,23.5,20
"47","Tennessee",173.0163,7134327,7051339,6925619,6867667.6,6346105,0.01177,82988,0.12421,61.7,47,1.7,30.9,2.2,28.85,4,30.5,21
"42","Pennsylvania",289.02749,12931957,12972008,12994440,12965233.9,12702379,-0.00309,-40051,0.01807,60.6,38.9,1.4,28.9,2.1,0,4.5,36,22
"35","New Mexico",17.39527,2110011,2113344,2118390,2112468.9,2059179,-0.00158,-3333,0.02469,60.1,39.4,2,25.2,1.8,54.83,8,28.5,23
"1","Alabama",100.6762,5098746,5074296,5031362,5006199.4,4779736,0.00482,24450,0.06674,59.8,46.9,1.9,26.1,1.7,70.24,5.5,34,24
"19","Iowa",57.34903,3203345,3200517,3190571,3176149.4,3046355,0.00088,2828,0.05153,59.4,36.3,1.8,35.6,2,13.6,8.5,31,25
"41","Oregon",44.00522,4223973,4240137,4244795,4203422.9,3831074,-0.00381,-16164,0.10256,59.2,37.8,1.6,30,1.6,70.69,9.5,40.5,26
"55","Wisconsin",109.03241,5904977,5892539,5896271,5875342.5,5686986,0.00211,12438,0.03833,59,33.6,1.4,32.4,1.9,59.82,6,32.5,27
"37","North Carolina",222.7994,10832061,10698973,10449445,10358048.8,9535483,0.01244,133088,0.13597,58.6,41.3,1.6,26.5,1.8,32.78,6.5,34,28
"49","Utah",41.6513,3422487,3380800,3283785,3231795,2763885,0.01233,41687,0.23829,58.5,36.2,1.6,24.7,1.9,44.86,9,38.5,29
"48","Texas",116.75553,30500280,30029572,29232474,28823782.7,25145561,0.01567,470708,0.21295,58.2,43.4,1.7,20.5,2,81.42,12.5,32.5,30
"4","Arizona",65.61541,7453517,7359197,7179943,7101150.4,6392017,0.01282,94320,0.16607,58,43,1.8,26.4,2,40.03,7,36.5,31
"10","Delaware",529.49461,1031985,1018396,992114,982696,897934,0.01334,13589,0.14929,57.9,42.2,1.8,24.1,1.8,71.15,9.5,40,32
"6","California",249.81347,38915693,39029342,39501653,39276883.3,37253956,-0.00291,-113649,0.04461,57.2,40.1,1.6,22.9,1.7,66.31,6.5,46,33
"12","Florida",422.59351,22661577,22244823,21589602,21310772.8,18801310,0.01873,416754,0.20532,56,39.8,1.5,24.2,1.8,22.05,7.5,36,34
"51","Virginia",220.55895,8709873,8683619,8636471,8572926.3,8001024,0.00302,26254,0.08859,55.5,35.6,1.7,23.9,1.9,94.41,9.5,41.5,35
"22","Louisiana",105.39265,4553384,4590241,4651664,4639834.8,4533372,-0.00803,-36857,0.00441,54.4,38.3,1.6,19,1.7,43.5,6,29,36
"27","Minnesota",71.87131,5722897,5717184,5709852,5669259.3,5303925,0.001,5713,0.07899,54,35.5,1.4,26.5,1.9,51.21,8,40,37
"32","Nevada",29.23222,3209142,3177772,3115648,3074138.3,2700551,0.00987,31370,0.18833,53.3,36.8,1.6,23.1,1.7,87.92,10,37.5,38
