Nomestado,Nommunicipio,Sup_Sem_2003,Sup_Cos_2003,Vol_Pro_2003,Rdto_2003,Sup_Sem_2004,Sup_Cos_2004,Vol_Pro_2004,Rdto_2004,Sup_Sem_2005,Sup_Cos_2005,Vol_Pro_2005,Rdto_2005,Sup_Sem_2006,Sup_Cos_2006,Vol_Pro_2006,Rdto_2006,Sup_Sem_2007,Sup_Cos_2007,Vol_Pro_2007,Rdto_2007,Sup_Sem_2008,Sup_Cos_2008,Vol_Pro_2008,Rdto_2008,Sup_Sem_2009,Sup_Cos_2009,Vol_Pro_2009,Rdto_2009,Sup_Sem_2010,Sup_Cos_2010,Vol_Pro_2010,Rdto_2010,Sup_Sem_2011,Sup_Cos_2011,Vol_Pro_2011,Rdto_2011,Sup_Sem_2012,Sup_Cos_2012,Vol_Pro_2012,Rdto_2012,Sup_Sem_2013,Sup_Cos_2013,Vol_Pro_2013,Rdto_2013,Sup_Sem_2014,Sup_Cos_2014,Vol_Pro_2014,Rdto_2014,Sup_Sem_2015,Sup_Cos_2015,Vol_Pro_2015,Rdto_2015,Sup_Sem_2016,Sup_Cos_2016,Vol_Pro_2016,Rdto_2016,Sup_Sem_2017,Sup_Cos_2017,Vol_Pro_2017,Rdto_2017,Sup_Sem_2018,Sup_Cos_2018,Vol_Pro_2018,Rdto_2018,Sup_Sem_2019,Sup_Cos_2019,Vol_Pro_2019,Rdto_2019,Sup_Sem_2020,Sup_Cos_2020,Vol_Pro_2020,Rdto_2020
Chiapas,Acacoyagua,2969,2967,8040.57,2.71,2969,2969,7808.47,2.63,2969,2969,7511.57,2.53,2476.8,2476.8,5448.96,2.2,2476.8,2476.8,4582.08,1.85,2476.8,2476.8,3219.84,1.3,2476.8,2476.8,3962.88,1.6,2476.8,2476.8,4210.56,1.7,2726.8,2726.8,5180.92,1.9,2726.8,2726.8,5208.19,1.91,2726,2726,5190,1.9,2726,2726,2726,1,2748,2586,2844.6,1.1,2640,2500,2410,0.96,2726,2586,2792.88,1.08,2731,2586,2327.4,0.9,2731,2586,2379.12,0.92,2731,2726,2671.48,0.98
Chiapas,Acapetahua,21,21,55.23,2.63,21,21,53.55,2.55,21,21,52.92,2.52,21,21,35.7,1.7,21,21,35.7,1.7,21,21,35.7,1.7,21,21,42,2,21,21,39.9,1.9,21,21,39.9,1.9,21,21,39.9,1.9,21,21,39,1.86,21,21,21,1,56,0,0,0,50,0,0,0,56,0,0,0,53,0,0,0,56,16,12.32,0.77,56,16,13.12,0.82
Chiapas,Aldama,,,,,,,,,,,,,,,,,,,,,400,400,1028,2.57,400,400,1076,2.69,400,400,1100,2.75,419,407,1143.67,2.81,421,408,1099.56,2.7,422,412,1108.28,2.69,423,414,1109.52,2.68,425,417,1167.6,2.8,415,411,1142.58,2.78,412,408,1139.84,2.79,419,415,1011.35,2.44,421.25,418,1053.36,2.52,421.25,418,1082.62,2.59
Chiapas,Altamirano,1811,1811,4871.59,2.69,1765,1765,4324.25,2.45,2083,2083,5103.35,2.45,2083,2083,5103.35,2.45,2083,2083,5103.35,2.45,2083,2083,5353.31,2.57,2080,2080,5345.6,2.57,2080,2080,5512,2.65,2101,2087,5614.03,2.69,2096,2087,5367.76,2.57,2097,2089,5619.41,2.69,2099,2090,5371.3,2.57,2083,2072,5439.2,2.63,2103,2095,5426.05,2.59,2101,2092,5648.4,2.7,2099,2090,5427.25,2.6,2104,2096,5407.68,2.58,2102,2097.5,5348.63,2.55
Chiapas,Amatán,2519,2519,4446,1.76,2519,2519,4660.15,1.85,2519,2519,4418,1.75,2519,2519,3655,1.45,2519,2519,3025.3,1.2,2519,2519,3017.7,1.2,2519,2519,2027.8,0.81,2519,2494,3143.7,1.26,2519,2494,3366.9,1.35,2519,2494,3441.72,1.38,2519,2489,3609.05,1.45,2519,2489,3011.69,1.21,2539,2469,3086.36,1.25,2518,2489,3036.58,1.22,2519,2489,3061.47,1.23,2520,2489,3235.7,1.3,2520,2489,3235.7,1.3,2520,2489,3285.48,1.32
Chiapas,Amatenango de La Frontera,7939,7939,29771.25,3.75,5971,5951.5,22650.7,3.81,5971,5971,23420.53,3.92,5971,5740,22351,3.89,5996,5996,23349.4,3.89,5996,5996,20386.4,3.4,5996,5996,21549.6,3.59,5996,5996,21682.68,3.62,6106,3996,15545.52,3.89,6226,5996,23059.4,3.85,6328,5996,23356.84,3.9,6388,5996,16116.2,2.69,6408,6082,10023.36,1.65,6380,6074,10735.78,1.77,6385,6270,10395.14,1.66,6390,6298,12532.25,1.99,6388,6338,13069.8,2.06,6388,6358,12926.22,2.03
Chiapas,Angel Albino Corzo,10000,10000,8050,0.81,10371,10371,27897.99,2.69,10371,10371,35572.53,3.43,11959,11959,42334.86,3.54,7509.5,7509.5,20200.56,2.69,7620.5,7509.5,20200.56,2.69,7620.5,7509.5,20200.56,2.69,7620.5,7509.5,20651.13,2.75,7421,7310,19663.9,2.69,7421,7366,19888.2,2.7,7445,7388,22519.02,3.05,7528,7445,12085.1,1.62,7478,7216,9752.45,1.35,7463,4748,5333.91,1.12,7483,4750,1568.12,0.33,7455,4919,1967.6,0.4,7451,4730,4635.4,0.98,7451,5435.5,5381.15,0.99
Chiapas,Arriaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95,0,0,0,9.95,9.95,17.5,1.76,5,5,9.87,1.97,8,6,16.55,2.76,6,5,11.99,2.4,6.1,5,11.85,2.37,4,3,7.41,2.47
Chiapas,Bejucal de Ocampo,88,88,278.08,3.16,141,141,445.56,3.16,31,31,97.96,3.16,31,31,97.96,3.16,31,31,97.96,3.16,31,31,96.1,3.1,31,31,97.96,3.16,31,31,93,3,31,31,94.55,3.05,31,31,101.68,3.28,54,31,115.32,3.72,56.5,31,76.7,2.47,57,48.5,119.8,2.47,56,48,130.47,2.72,57.3,51.5,139.05,2.7,58,51.3,148.77,2.9,57,45,135,3,57,48,142.08,2.96
Chiapas,Bella Vista,6125,6125,23275,3.8,4305,4305,16761.4,3.89,4305,4305,16761.4,3.89,4305,4025.4,15670.96,3.89,4315.4,4315.4,15995.08,3.71,4315.4,4315.4,14672.36,3.4,4315.4,4315.4,15712.86,3.64,5115.4,5115.4,17377.61,3.4,5150.4,5115.4,16789.31,3.28,5495.4,5215.4,17099.35,3.28,4720.4,4315.4,14745.35,3.42,4746.4,4315.4,12578.46,2.91,4746.5,4544.5,9559.87,2.1,4737,4534,10216.2,2.25,4745.5,4691.5,10400.24,2.22,4750,4702.5,12766.26,2.71,4748,4723,12883.95,2.73,4748,4733,12686.02,2.68
Chiapas,Berriozábal,362,308,508.2,1.65,362,308,554.4,1.8,362,253.4,354.76,1.4,362,362,615.4,1.7,362,325.8,570.15,1.75,362,327.7,426.01,1.3,362,351,491.4,1.4,362,351,491.4,1.4,362,342,531.3,1.55,362,362,575.58,1.59,362,362,670.42,1.85,362,362,611.06,1.69,362,289,561.1,1.94,289,289,424.83,1.47,285,285,185.25,0.65,283,255,155.55,0.61,281,201,180.9,0.9,311,281,300.67,1.07
Chiapas,Bochil,,,,,308,308,492.8,1.6,308,265,508.8,1.92,308,308,569.8,1.85,308,308,554.4,1.8,265,265,477,1.8,265,265,477,1.8,265,265,503.5,1.9,265,265,503.5,1.9,265,265,514.1,1.94,265,265,556.5,2.1,265,265,516.75,1.95,265,265,519.4,1.96,264,264,519.02,1.97,266,264,522.72,1.98,265,264,554.4,2.1,265,264,554.4,2.1,265,264,588.72,2.23
Chiapas,Cacahoatán,7736.75,7736.75,24912.33,3.22,7736.35,7736.35,20733.41,2.68,7736.35,7736.35,20114.51,2.6,7218,7218,18478.08,2.56,7218,7218,18405.9,2.55,7218,7218,16601.4,2.3,7218,7218,17323.2,2.4,7218,7218,18766.8,2.6,7240,7240,17980,2.48,7240,7240,10838.28,1.5,7240,7240,10900,1.51,7240,7240,6040,0.83,7277,6640,7304,1.1,7152,5552,7210.5,1.3,7292,5692,6488.88,1.14,7273,5693,6836.9,1.2,7294,5694,6892.34,1.21,7294,6294,7808.72,1.24
Chiapas,Chalchihuitán,1167,1167,2859.15,2.45,1210,1210,2964.5,2.45,1756,1756,4302.2,2.45,1756,1756,4302.2,2.45,1756,1756,4302.2,2.45,1756,1756,4512.92,2.57,1755,1755,4931.55,2.81,1755,1755,4826.25,2.75,1765,1760,4937.17,2.81,1766,1761,4960.74,2.82,1767,1763,4742.47,2.69,1768,1765,4430.15,2.51,1791,1786,4503.3,2.52,1771,1768,4526.08,2.56,1769,1763,4760.1,2.7,1766,1760,4053.5,2.3,1768.5,1763,4301.72,2.44,1769.5,1763.5,4320.58,2.45
Chiapas,Chapultenango,656,656,1345,2.05,656,656,1279.2,1.95,656,656,1326,2.02,656,656,1050,1.6,656,656,919,1.4,656,656,913.2,1.39,656,656,541.5,0.83,656,646,778.1,1.2,656,646,794.58,1.23,656,646,742.9,1.15,656,643,803.75,1.25,656,643,681.58,1.06,656,643,800.32,1.24,656.5,643,810.18,1.26,654,643,784.46,1.22,658,643,868.05,1.35,658,643,868.05,1.35,658,643,900.2,1.4
Chiapas,Chenalhó,1958,1958,5267.02,2.69,2157,2157,5802.33,2.69,4328,4328,10603.6,2.45,4328,4328,11642.32,2.69,4328,4328,11642.32,2.69,3929,3929,10569.01,2.69,3925,3925,11029.25,2.81,3930,3930,11397,2.9,3964,3947,12077.82,3.06,3968,3950,11613,2.94,3970,3957,11146.87,2.82,3972,3961,10971.97,2.77,3962,3950,11577.8,2.93,3977,3969,11510.1,2.9,3972,3965,11102,2.8,3970.5,3963.5,9532.22,2.41,3976.75,3970,10242.6,2.58,3979.25,3971,10046.63,2.53
Chiapas,Chiapa de Corzo,,,,,,,,,,,,,,,,,49.5,49.5,89.1,1.8,49.5,49,66.15,1.35,49.5,49.5,74.25,1.5,49.5,49.5,64.35,1.3,49.5,47,76.14,1.62,49.5,49.5,81.68,1.65,49.5,49.5,88.61,1.79,49.5,49.5,84.25,1.7,49.5,31.5,73.26,2.33,31.5,31.5,43.79,1.39,30,30,12,0.4,29,27,12.15,0.45,28,21,16.8,0.8,38,28,22.96,0.82
Chiapas,Chicomuselo,3415,3415,5976.25,1.75,3415,3415,5976.25,1.75,3415,3415,6044.55,1.77,3415,3415,3415,1,3415,3415,3415,1,3220,3220,3542,1.1,3220,3220,1835.4,0.57,3220,3220,1932,0.6,3220,1288,772.8,0.6,3220,3220,2447.2,0.76,3220,3220,1932,0.6,3220,3220,2898,0.9,3252,3202,3542,1.11,3200,3200,4186,1.31,3198,3198,3869.58,1.21,3202,3202,4351.52,1.36,3210,3210,4494,1.4,3212,3212,4625.28,1.44
Chiapas,Chilón,13216,13216,28100,2.13,13216,13216,33150,2.51,13216,13216,27753.6,2.1,13216,13216,25903.36,1.96,13216,13216,28414.4,2.15,13216,13216,23788.8,1.8,13216,13216,21806.4,1.65,13216,13216,21145.6,1.6,13282,13265,32499.25,2.45,13277,13270,27601.6,2.08,13278,13272.5,16192.45,1.22,13279,13273,17918.55,1.35,13302,13223,15927.6,1.2,13293,13272,13328.78,1,13285,13285,14606.9,1.1,13295,13279,14850,1.12,13293,13279,15270.85,1.15,13294,13280,15404.8,1.16
Chiapas,Cintalapa,421.75,421.75,632.63,1.5,421,421,799.9,1.9,421,421,804.11,1.91,421,337,589.75,1.75,421,379,682.2,1.8,421,402.5,563.5,1.4,421,421,631.5,1.5,421,421,589.4,1.4,421,395,577.5,1.46,421,421,757.8,1.8,421,421,762.85,1.81,421,421,837.79,1.99,421,319,583.51,1.83,319,319,424.27,1.33,318,318,435.66,1.37,320,319,478.5,1.5,323,319,564.63,1.77,353,323,581.4,1.8
Chiapas,Coapilla,370,253,430.1,1.7,370,314,549.5,1.75,370,370,518,1.4,370,370,629,1.7,370,314.5,550.38,1.75,370,344.5,482.3,1.4,370,351,463.32,1.32,370,370,518,1.4,370,356,498.4,1.4,370,370,521.7,1.41,370,370,614.2,1.66,370,370,502.09,1.36,370,270,507.64,1.88,270,270,282.15,1.05,269,269,298.59,1.11,268,248,245.52,0.99,266,246,282.9,1.15,296,266,345.8,1.3
