dataset,experiment,environment,label,spp,Country,Region,Region_4,Lat,Lon,Alt,Pop_Ind,Pop,Ind,block,treatment,germDate,survival,flDate_1,flDate_2,no_fl ,height,no_stem,no_buds,frDate_1,SowDate
Durham,vernalisation,ASK,star,bienne,France,France,France,45.09393056,-1.050338889,21,Vil_25,Vil,25,2,Control,05/02/2019,1,24/11/2019,25/11/2019,NA,76.5,10,2,NA,23/01/2019
Durham,vernalisation,ASK,circle,bienne,France,France,France,45.09393056,-1.050338889,21,Vil_27,Vil,27,2,Control,09/05/2019,1,27/11/2019,03/12/2019,1,21.5,6,0,NA,30/04/2019
Durham,vernalisation,ASK,circle,bienne,France,France,France,45.09393056,-1.050338889,21,Vil_27,Vil,27,6,Control,09/05/2019,1,27/11/2019,03/12/2019,1,21.5,6,0,NA,30/04/2019
Durham,vernalisation,ASK,circle,bienne,France,France,France,45.09393056,-1.050338889,21,Vil_36,Vil,36,5_1,Control,12/06/2019,1,26/11/2019,01/12/2019,3,39.5,27,2,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,France,France,France,47.38701944,-0.5257388889,47.5,Roc_12,Roc,12,5,Control,05/02/2019,1,10/10/2019,13/10/2019,3,48,16,2,03/12/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,France,France,France,47.38701944,-0.5257388889,47.5,Roc_12,Roc,12,3_1,Control,09/05/2019,1,30/11/2019,02/12/2019,2,52.5,25,3,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,France,France,France,47.4961,-1.592538889,25,Saf_16,Saf,16,6,Control,05/02/2019,1,05/09/2019,24/09/2019,2,29.5,10,0,23/09/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,France,France,France,47.4961,-1.592538889,25,Saf_17,Saf,17,6,Control,05/02/2019,1,26/11/2019,29/11/2019,2,41,33,5,09/12/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,France,France,France,47.4961,-1.592538889,25,Saf_19,Saf,19,2,Control,05/02/2019,1,01/12/2019,NA,1,34,48,2,NA,23/01/2019
Durham,vernalisation,ASK,circle,bienne,France,France,France,47.4961,-1.592538889,25,Saf_19,Saf,19,7,Control,13/05/2019,1,27/11/2019,NA,1,42,41,1,NA,30/04/2019
Durham,vernalisation,ASK,circle,bienne,France,France,France,47.6997,-3.45465,14,Tal_10,Tal,10,2,Control,08/05/2019,1,04/10/2019,04/10/2019,2,34,6,1,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,France,France,France,47.6997,-3.45465,14,Tal_10,Tal,10,2,Control,05/02/2019,1,15/04/2019,NA,1,26,3,0,09/07/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,France,France,France,48.35696944,4.458630556,125.5,Mat_2,Mat,2,3,Control,05/02/2019,1,25/08/2019,28/08/2019,2,32,6,4,NA,23/01/2019
Durham,vernalisation,ASK,circle,bienne,France,France,France,48.35696944,4.458630556,125.5,Mat_2,Mat,2,5_1,Control,17/05/2019,1,24/11/2019,25/11/2019,3,39,33,13,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,France,France,France,48.35696944,4.458630556,125.5,Mat_14,Mat,14,5,Control,05/02/2019,1,04/09/2019,06/09/2019,2,29,5,3,NA,23/01/2019
Durham,vernalisation,ASK,circle,bienne,France,France,France,48.35696944,4.458630556,125.5,Mat_14,Mat,14,5_14,Control,09/05/2019,1,02/11/2019,04/11/2019,3,24,12,2,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,France,France,France,48.35696944,4.458630556,125.5,Mat_17,Mat,17,2,Control,05/02/2019,1,24/08/2019,31/08/2019,2,26.3,6,3,31/08/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,France,France,France,48.35696944,4.458630556,125.5,Mat_17,Mat,17,7,Control,08/05/2019,1,22/11/2019,23/11/2019,1,49,20,16,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,France,France,France,48.35696944,4.458630556,125.5,Mat_18,Mat,18,3,Control,05/02/2019,1,11/10/2019,17/10/2019,2,39,17,1,NA,23/01/2019
Durham,vernalisation,ASK,circle,bienne,France,France,France,48.35696944,4.458630556,125.5,Mat_18,Mat,18,6_1,Control,09/05/2019,1,15/11/2019,NA,1,36.5,21,12,NA,30/04/2019
Durham,vernalisation,ASK,circle,bienne,France,France,France,48.35696944,4.458630556,125.5,Mat_23,Mat,23,6,Control,08/05/2019,1,23/11/2019,24/11/2019,2,47,22,8,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,France,France,France,48.35696944,4.458630556,125.5,Mat_23,Mat,23,6,Control,05/02/2019,1,20/08/2019,23/03/2019,2,31,5,5,13/09/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain North,Spain North,42.17088611,-8.683819444,483,19_26,19,26,3,Control,05/02/2019,1,08/08/2019,NA,1,43.5,11,0,NA,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain North,Spain North,42.17088611,-8.683819444,483,19_26,19,26,3,Control,05/02/2019,1,08/08/2019,26/08/2019,2,43.5,11,0,NA,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain North,Spain North,42.17088611,-8.683819444,483,19_30,19,30,5,Control,05/02/2019,1,06/09/2019,22/09/2019,1,39,9,3,25/09/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain North,Spain North,42.79403889,-3.424744444,670,14_21,14,21,1,Control,09/05/2019,1,09/12/2019,11/12/2019,NA,40,36,3,NA,30/04/2019
